ft06,GAKK,55,4
ft06,GAKK,58,4
ft06,GAKK,58,4
ft06,GAKK,57,4
ft06,GAKK,58,4
ft06,GAKK,56,4
ft06,GAKK,57,4
ft06,GAKK,58,4
ft06,GAKK,59,4
ft06,GAKK,58,4
ft06,GAKK,59,4
ft06,GAKK,58,4
ft06,GAKK,59,4
ft06,GAKK,58,4
ft06,GAKK,59,4
ft06,GAKK,58,4
ft06,GAKK,58,4
ft06,GAKK,59,4
ft06,GAKK,55,4
ft06,GAKK,57,4
ft06,GASPT,58,4
ft06,GASPT,55,4
ft06,GASPT,59,4
ft06,GASPT,58,4
ft06,GASPT,59,4
ft06,GASPT,59,4
ft06,GASPT,59,4
ft06,GASPT,58,4
ft06,GASPT,58,4
ft06,GASPT,58,4
ft06,GASPT,59,4
ft06,GASPT,59,4
ft06,GASPT,55,4
ft06,GASPT,55,4
ft06,GASPT,55,4
ft06,GASPT,58,4
ft06,GASPT,58,4
ft06,GASPT,59,4
ft06,GASPT,60,4
ft06,GASPT,55,4
ft06,GALPT,55,4
ft06,GALPT,59,4
ft06,GALPT,55,4
ft06,GALPT,58,4
ft06,GALPT,57,4
ft06,GALPT,59,4
ft06,GALPT,55,4
ft06,GALPT,58,4
ft06,GALPT,58,4
ft06,GALPT,57,4
ft06,GALPT,59,4
ft06,GALPT,55,4
ft06,GALPT,55,4
ft06,GALPT,58,4
ft06,GALPT,55,4
ft06,GALPT,59,4
ft06,GALPT,59,4
ft06,GALPT,57,4
ft06,GALPT,59,4
ft06,GALPT,59,4
ft06,GASRPT,55,4
ft06,GASRPT,55,4
ft06,GASRPT,55,4
ft06,GASRPT,59,4
ft06,GASRPT,58,4
ft06,GASRPT,59,4
ft06,GASRPT,55,4
ft06,GASRPT,58,4
ft06,GASRPT,59,4
ft06,GASRPT,59,4
ft06,GASRPT,55,4
ft06,GASRPT,58,4
ft06,GASRPT,55,4
ft06,GASRPT,58,4
ft06,GASRPT,55,4
ft06,GASRPT,59,4
ft06,GASRPT,58,4
ft06,GASRPT,57,4
ft06,GASRPT,58,4
ft06,GASRPT,59,4
ft06,GALRPT,59,4
ft06,GALRPT,57,4
ft06,GALRPT,58,4
ft06,GALRPT,55,4
ft06,GALRPT,58,4
