ft06,GAKK,59,3
ft06,GAKK,55,3
ft06,GAKK,58,3
ft06,GAKK,59,3
ft06,GAKK,59,3
ft06,GAKK,58,3
ft06,GAKK,59,3
ft06,GAKK,59,3
ft06,GAKK,58,3
ft06,GAKK,55,3
ft06,GAKK,59,3
ft06,GAKK,55,3
ft06,GAKK,57,3
ft06,GAKK,57,3
ft06,GAKK,55,3
ft06,GAKK,57,3
ft06,GAKK,55,3
ft06,GAKK,59,3
ft06,GAKK,55,3
ft06,GAKK,58,3
ft06,GASPT,58,3
ft06,GASPT,58,3
ft06,GASPT,55,3
ft06,GASPT,57,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GASPT,55,3
ft06,GASPT,57,3
ft06,GASPT,55,3
ft06,GASPT,57,3
ft06,GASPT,57,3
ft06,GASPT,58,3
ft06,GASPT,58,3
ft06,GASPT,58,3
ft06,GASPT,58,3
ft06,GASPT,57,3
ft06,GASPT,57,3
ft06,GASPT,55,3
ft06,GALPT,55,3
ft06,GALPT,58,3
ft06,GALPT,60,3
ft06,GALPT,55,3
ft06,GALPT,57,3
ft06,GALPT,59,3
ft06,GALPT,58,3
ft06,GALPT,55,3
ft06,GALPT,58,3
ft06,GALPT,58,3
ft06,GALPT,55,3
ft06,GALPT,55,3
ft06,GALPT,58,3
ft06,GALPT,59,3
ft06,GALPT,55,3
ft06,GALPT,58,3
ft06,GALPT,59,3
ft06,GALPT,58,3
ft06,GALPT,58,3
ft06,GALPT,55,3
ft06,GASRPT,58,3
ft06,GASRPT,57,3
ft06,GASRPT,55,3
ft06,GASRPT,58,3
ft06,GASRPT,58,3
ft06,GASRPT,59,3
ft06,GASRPT,57,3
ft06,GASRPT,59,3
ft06,GASRPT,55,3
ft06,GASRPT,55,3
ft06,GASRPT,57,3
ft06,GASRPT,55,3
ft06,GASRPT,59,3
ft06,GASRPT,59,3
ft06,GASRPT,55,3
ft06,GASRPT,55,3
ft06,GASRPT,55,3
ft06,GASRPT,59,3
ft06,GASRPT,55,3
ft06,GASRPT,58,3
ft06,GALRPT,55,3
ft06,GALRPT,57,3
ft06,GALRPT,59,3
ft06,GALRPT,55,3
ft06,GALRPT,59,3
ft06,GALRPT,59,3
ft06,GALRPT,55,3
ft06,GALRPT,58,3
ft06,GALRPT,59,3
ft06,GALRPT,58,3
ft06,GALRPT,58,3
ft06,GALRPT,55,3
ft06,GALRPT,59,3
ft06,GALRPT,58,3
ft06,GALRPT,58,3
ft06,GALRPT,55,3
ft06,GALRPT,58,3
ft06,GALRPT,59,3
ft06,GALRPT,59,3
ft06,GALRPT,55,3
ft06,GAMIX,57,3
ft06,GAMIX,59,3
ft06,GAMIX,58,3
ft06,GAMIX,55,3
ft06,GAMIX,57,3
